nom,,adresse,tabelog,url,fb,mails,,tel,budget,,,,,,,,,,
ア・ラ・ルーシュ,,大阪府,https://tabelog.com/osaka/A2701/A270404/27039880/,http://www.a-la-louche2009.com/,https://www.facebook.com/a.la.louche20090324/,a_la_louche@wine.plala.or.jp,1,,,,,,,,,,,,
キュルティベ,Cultiver）,東京都,https://tabelog.com/tokyo/A1320/A132002/13243640/,https://cultivertokyo.com/,https://www.facebook.com/cultiver.japan/,acreer2016@gmail.com,1,0422-69-0038,"￥5,000～￥5,999 | ￥8,000～￥9,999 | ",,,,,,,,,,
白土,shirato）,東京都,https://tabelog.com/tokyo/A1307/A130701/13239450/,https://www.shirato.tokyo/,https://www.facebook.com/shiratoroppongi/,alapoltpolt@gmail.com,1,,,,,,,,,,,,
祗園245,,京都府,https://tabelog.com/kyoto/A2601/A260301/26018705/,http://www.gion-245.com/,https://www.facebook.com/gion245/,alcor_armeo@yahoo.co.jp,1,,,,,,,,,,,,
オーベルジュ ル・タン,,静岡県,https://r.gnavi.co.jp/n020400/,http://www.le-temps.jp/,,alt@mail.wbs.ne.jp,,,,,,,,,,,,,
アンティカ・オステリア デル・ポンテ,,東京都,https://r.gnavi.co.jp/g763348/,http://www.anticaosteriadelponte.jp/,,antica@miyoshi-grp.com,,,,,,,,,,,,,
レストラン アピシウス,,東京都,https://r.gnavi.co.jp/a323700/,http://www.apicius.co.jp/index.html,,apicius@apex-co.co.jp,,,,,,,,,,,,,
くりゑンテ カワバタ,くりゑンテkawabata）,石川県,https://tabelog.com/ishikawa/A1701/A170101/17000809/,https://curiente.blogspot.jp/,,apps-help@google.com,,,,,,,,,,,,,
アルゴ,ARGO）,東京都,https://tabelog.com/tokyo/A1308/A130803/13018870/,https://argo.tojo.co.jp/,https://www.facebook.com/Restaurant-ARGO-by-Tojo-276194633170849/,argo@tojo.co.jp,1,,,,,,,,,,,,
AZUR et MASA UEKI,アズール エ マサ ウエキ）,東京都,https://tabelog.com/tokyo/A1307/A130701/13206559/,http://www.restaurant-azur.com/,,azur@restaurant-azur.com,,,,,,,,,,,,,
ブノワ,BENOIT）,東京都,https://tabelog.com/tokyo/A1306/A130602/13019489/,http://www.benoit-tokyo.com/,https://www.facebook.com/pages/Benoit/387696711333379,benoit-tokyo@benoit.co.jp,,,,,,,,,,,,,
ビストロ ネモ,Bistro N?mot）,東京都,https://tabelog.com/tokyo/A1307/A130703/13248994/,https://therestaurant-hiroo.com/shop/nemot/,https://www.facebook.com/bistro.nemot/,bistro.nemot@gmail.com,1,,,,,,,,,,,,
bistro Chic,,京都府,https://tabelog.com/kyoto/A2601/A260503/26030101/,https://www.bistro-chic.biz/,https://www.facebook.com/Bistro-Chic-2068369946728237/,bistro_chic@yahoo.co.jp,1,,,,,,,,,,,,
CELLIER,セリエ）,東京都,https://tabelog.com/tokyo/A1303/A130302/13192209/,https://cellierdesdimes.gorp.jp/,https://www.facebook.com/cellier2016/,bistrocellier@gmail.com,1,,,,,,,,,,,,
BISTROT L'adret,ビストロラドレ）,東京都,https://tabelog.com/tokyo/A1318/A131813/13229348/,,https://www.facebook.com/bistrotladret/,bistrorladret@gmail.com,1,050-5457-2874,"￥6,000～￥7,999 | ",,,,,,,,,,
シェ オリビエ,Chez Olivier）,東京都,https://tabelog.com/tokyo/A1309/A130904/13097060/,http://www.chezolivier.co.jp/,https://www.facebook.com/pages/Chez-Olivier/200703086662791,chez.olivier.tokyo@gmail.com,0,,,,,,,,,,,,
