nom,nom2,adresse,retty,url,fb,mail
"イイザカ",,"東京都","https://retty.me/area/PRE13/ARE6/SUB603/100001041187/",,"https://www.facebook.com/%E3%83%95%E3%83%A9%E3%83%B3%E3%82%B9%E6%96%99%E7%90%86IIZAKA-350661471779617/info",,
"ル シエル",,"鹿児島県","https://retty.me/area/PRE46/ARE143/SUB14301/100000941222/","http://www.shiroyama-g.co.jp/promotion/skylounge/",,,
"サンク",,"愛知県","https://retty.me/area/PRE23/ARE64/SUB6401/100001334268/","http://www.cuisine-cinq.com/",,,
"タンモア",,"東京都","https://retty.me/area/PRE13/ARE18/SUB1801/100001432839/",,"https://www.facebook.com/tanmoa0901/",,
"ル・クール",,"千葉県","https://retty.me/area/PRE12/ARE45/SUB4501/100000709518/","http://www.lecoeur-llc.jp/",,,
"ォーシーズ",,"徳島県","https://retty.me/area/PRE36/ARE148/SUB14804/100001313960/","http://renaissance-naruto.com/restaurant/locations/fourseasons.html",,,
"プレミナ",,"石川県","https://retty.me/area/PRE17/ARE155/SUB15501/100000454712/","http://www.norio.co.jp/",,,
"ORIGIN",,"大阪府","https://retty.me/area/PRE27/ARE92/SUB9203/100001338472/","https://www.instagram.com/restaurantorigin/","https://www.facebook.com/origintenmabashi/",,
"My Way",,"徳島県","https://retty.me/area/PRE36/ARE303/SUB30301/100000620328/",,,,
"セルジュ&ジェー",,"東京都","https://retty.me/area/PRE13/ARE12/SUB1205/100001247736/",,,,
"レ セゾン 帝国ホテル大阪",,"大阪府","https://retty.me/area/PRE27/ARE92/SUB62105/100001203250/","http://www.imperialhotel.co.jp/j/osaka/restaurant/les_saisons/",,,
"の店　レストラン　リヴァージュ",,"栃木県","https://retty.me/area/PRE09/ARE238/SUB23804/100000389026/",,,,
"ルミエール 富山第一ホテル",,"富山県","https://retty.me/area/PRE16/ARE156/SUB15601/100001048307/","https://www.hankyu-hotel.com/hotel/dh/toyamadh/restaurants/lumiere",,,
"トリアノン 札幌プリンスホテル",,"北海道","https://retty.me/area/PRE01/ARE164/SUB43802/100001195785/",,,,
"ボンファム",,"福岡県","https://retty.me/area/PRE40/ARE134/SUB13402/100000264670/","http://kokura-bonnefemme.com/bonnefemme.html",,,
"ヴァンベール 湯本富士屋ホテル",,"神奈川県","https://retty.me/area/PRE14/ARE30/SUB3002/100001405745/","http://www.yumotofujiya.jp/restaurant/ventvert/index.html",,,
"ボナキュー エクシブ蓼科",,"長野県","https://retty.me/area/PRE20/ARE298/SUB56006/100001399136/",,,,
"クラウンレストラン ホテルグランドパレ",,"東京都","https://retty.me/area/PRE13/ARE6/SUB602/100000790654/","http://www.grandpalace.co.jp/",,,
"ダイニングルーム 上高地帝国ホテル",,"長野県","https://retty.me/area/PRE20/ARE273/SUB27301/100001349396/","http://www.imperialhotel.co.jp/j/kamikochi/restaurant/diningroom/",,,
"プリドール ホテルグランヴィア岡山",,"岡山県","https://retty.me/area/PRE33/ARE153/SUB15301/100001407351/",,,,
"Les TONNEAUX",,"東京都","https://retty.me/area/PRE13/ARE10/SUB1002/100000020498/","http://www.lestonneaux.com/",,,
"六本木ヒルズクラブ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1401/100000825387/","http://www.roppongihillsclub.com/visitor/dfw/jp/info/index.html",,,
"サル ドゥ マキノ",,"東京都","https://retty.me/area/PRE13/ARE14/SUB1402/100000869843/","http://salledemakino.com/",,,
"祇園245",,"京都府","https://retty.me/area/PRE26/ARE112/SUB11203/100000448460/",,,,
"ホテル グランパシフィック LE DAIBA",,"東京都","https://retty.me/area/PRE13/ARE312/SUB31201/100000048415/","https://www.tokyo.grand-nikko.com/restaurant/garden_dining/",,,
"サユラ ヴァン ファ",,"京都府","https://retty.me/area/PRE26/ARE112/SUB11201/100000809919/","http://www.sayura-vinfin.com/",,,
"竹田屋 東金店",,"千葉県","https://retty.me/area/PRE12/ARE471/SUB4702/100000448350/",,,,
"代官山 小川軒",,"東京都","https://retty.me/area/PRE13/ARE7/SUB702/100000015542/",,,,
"Kura-倉Cafe",,"熊本県","https://retty.me/area/PRE43/ARE241/SUB24103/100001114424/","https://ja-jp.facebook.com/kuracafe","https://ja-jp.facebook.com/kuracafe",,
"ビストロ イイダ",,"福岡県","https://retty.me/area/PRE40/ARE136/SUB13601/100000783114/","http://bistrotiida.area9.jp/",,,
"シェルブルー",,"奈良県","https://retty.me/area/PRE29/ARE120/SUB12001/100001218479/","http://steak-cielbleu.com/",,,
"清風明月",,"東京都","https://retty.me/area/PRE13/ARE2/SUB201/100000020112/","http://www.seifu-m.com/",,,
"イタリアンレストラン ピーノ",,"神奈川県","https://retty.me/area/PRE14/ARE586/SUB3702/100001227485/","https://italianrestaurantpino.gorp.jp/","https://www.facebook.com/pino.italian",,
"バラティエ",,"福岡県","https://retty.me/area/PRE40/ARE127/SUB12703/100000646593/","https://baratie-fukuoka.com/","https://www.facebook.com/BARATIE.Fukuoka.Haruyoshi/",,
"グット ド レザ",,"東京都","https://retty.me/area/PRE13/ARE1/SUB105/100001249177/","http://www.gouttederaisin.com/","https://www.facebook.com/gouttederaisin/",,
"我ん家",,"東京都","https://retty.me/area/PRE13/ARE664/SUB2205/100001211165/",,,,
"カイツリー®ビューレストラン 簾",,"東京都","https://retty.me/area/PRE13/ARE17/SUB1701/100000454059/","http://www.tobuhotel.co.jp/levant/restaurants/ren.html",,,
"松尾 かも川",,"京都府","https://retty.me/area/PRE26/ARE114/SUB11401/100000226977/","http://grillhana.com/",,,
"レスパス 美愉 長浜ロイヤルホテル",,"滋賀県","https://retty.me/area/PRE25/ARE413/SUB26602/100001307616/","http://www.daiwaresort.jp/nagahama/",,,
"旬香亭",,"静岡県","https://retty.me/area/PRE22/ARE78/SUB7801/100001198792/",,,,
"鳥羽国際ホテル潮路亭 白石",,"三重県","https://retty.me/area/PRE24/ARE234/SUB23403/100001106405/","http://www.shiojitei.jp/cuisine/shiraishi.html",,,
"ハルダイニング",,"東京都","https://retty.me/area/PRE13/ARE15/SUB1503/100000707918/",,,,
"YOSHIDA Kappou",,"福岡県","https://retty.me/area/PRE40/ARE134/SUB13402/100001311164/","http://yoshida-kappou.jp/","https://www.facebook.com/YOSHIDAKappou-1718550495080095/",,
"アクアペンション クッチェッタ",,"静岡県","https://retty.me/area/PRE22/ARE337/SUB33702/100000912843/","http://cuccetta.com/",,,
"グランドビュー",,"京都府","https://retty.me/area/PRE26/ARE112/SUB11201/100001230158/",,,,
"ビストロ　ウスケ",,"兵庫県","https://retty.me/area/PRE28/ARE105/SUB10501/100001000306/",,"https://www.facebook.com/BistroUsuke20120727?fref=photo",,
"祇園びとら、",,"京都府","https://retty.me/area/PRE26/ARE112/SUB11201/100001305627/","http://www.vitra.jp/","https://www.facebook.com/gionvitra/",,
"創作料理ブリスタ",,"東京都","https://retty.me/area/PRE13/ARE7/SUB702/100001298437/","http://blista.sunnyday.jp/","https://www.facebook.com/blista2016/",,
"戸倉上山田温泉 湯元 上山田ホテル",,"長野県","https://retty.me/area/PRE20/ARE82/SUB55707/100001314165/","http://www.kamiyamada.com/",,,
"ルカワヤ",,"東京都","https://retty.me/area/PRE13/ARE24/SUB2404/100000063313/","http://www.furukawaya.jp/",,,
