nom,adresse,tabelog,url,fb,mails,tel,budget,keyword
カルシファーズ・グリル アラ トスカーナ,"東京都","https://tabelog.com/tokyo/A1301/A130101/13043235/",,,"0","050-5869-5662","￥2,000～￥2,999 | ￥2,000～￥2,999 | ",
Le Marais （マレ）,"東京都","https://tabelog.com/tokyo/A1311/A131103/13234353/","https://www.marais.jp/","https://www.facebook.com/maraisbistro","0","050-5597-3715","￥1,000～￥1,999 | ￥1,000～￥1,999 | ",
The Grill on 30th,"東京都","https://tabelog.com/tokyo/A1313/A131306/13210498/","https://www.tokyo.grandnikko.com/restaurant/thegrill/","https://www.facebook.com/grandnikkotokyodaiba/","0","050-5594-1530","￥5,000～￥5,999 | ￥5,000～￥5,999 | ",
櫓庵治 佐世保店 （ロアジ）,"長崎県","https://tabelog.com/nagasaki/A4202/A420201/42008593/",,,"0","050-5570-6557","￥1,000～￥1,999 | ￥1,000～￥1,999 | ",
新宿 焼肉ブルズ （BULLS）,"東京都","https://tabelog.com/tokyo/A1304/A130401/13219459/",,"https://www.facebook.com/shinjukubulls/","0","050-5595-3061","￥1,000～￥1,999 | ￥1,000～￥1,999 | ",
オオハラ エ シーアイイー （OHARA ET CIE）,"東京都","https://tabelog.com/tokyo/A1307/A130701/13005432/","http://ohara-et-cie.com/","https://www.facebook.com/Ooharaeshiaii","0","050-5869-3549","￥4,000～￥4,999 | ￥8,000～￥9,999 | ",
ブッチャー・リパブリック エビス シカゴピザ ＆ ビア （BUTCHER REPUBLIC EBISU CHICAGO PIZZA ＆ BEER）,"東京都","https://tabelog.com/tokyo/A1303/A130302/13211816/","http://www.butcher-nyc.com/ebisu.html",,"0","050-5594-2976","￥1,000～￥1,999 | ￥1,000～￥1,999 | ",
Jean-Georges Tokyo （ジャンジョルジュトウキョウ）,"東京都","https://tabelog.com/tokyo/A1307/A130701/13166173/","http://www.jean-georges-tokyo.jp/","https://www.facebook.com/jeangeorgest/","0","050-5596-7052","￥8,000～￥9,999 | ￥10,000～￥14,999 | ",
沖縄焼肉・ホルモン バカ一代 宮古島店,"沖縄県","https://tabelog.com/okinawa/A4705/A470503/47021418/",,,"0","050-5595-0504","￥2,000～￥2,999 | ￥5,000～￥5,999 | ",
もっちゃん家,"東京都","https://tabelog.com/tokyo/A1312/A131203/13200843/","http://moccyan-chi.com/","https://www.facebook.com/%E4%B8%80%E6%9E%9A%E7%84%BC%E8%82%89%E3%82%82%E3%81%A3%E3%81%A1%E3%82%83%E3%82%93%E5%AE%B6-157756638016260/","0","050-5592-8005","￥4,000～￥4,999 | ￥10,000～￥14,999 | ",
和食鉄板 銀座 朔月 （さくつき）,"東京都","https://tabelog.com/tokyo/A1301/A130101/13072926/","http://www.sakutsuki.net/","https://www.facebook.com/%E5%92%8C%E9%A3%9F%E9%89%84%E6%9D%BF-%E9%8A%80%E5%BA%A7-%E6%9C%94%E6%9C%88-sakutsuki-108574969241001/","0","050-5890-1012","￥1,000～￥1,999 | ￥1,000～￥1,999 | ",
Osteria & Bar GONZO,"東京都","https://tabelog.com/tokyo/A1317/A131703/13211776/","http://www.bistro-jill.com/shop/gonzo.html","https://www.facebook.com/GONZO-OsteriaBal-428638137535563/","0","050-5594-2974","￥1,000～￥1,999 | ￥1,000～￥1,999 | ",
Osteria Falco （オステリア ファルコ）,"福岡県","https://tabelog.com/fukuoka/A4001/A400104/40051887/","https://www.osteriafalco.com/","https://www.facebook.com/Osteria.Falco/","0","050-5597-6093","￥1,000～￥1,999 | ",
肉の匠 将泰庵 船橋総本店,"千葉県","https://tabelog.com/chiba/A1202/A120201/12049115/","http://nomeruhamburg-jiyugaoka.com/","https://www.facebook.com/shoutaian1129","0","050-5456-9520","￥2,000～￥2,999 | ￥4,000～￥4,999 | ",
魚タリアン YO （ウオタリアン ヨウ）,"大阪府","https://tabelog.com/osaka/A2701/A270108/27074766/",,"https://www.facebook.com/Uotalian/","0","06-6455-7776","￥6,000～￥7,999 | ",
Beering Bon （ビーリングボン）,"大阪府","https://tabelog.com/osaka/A2701/A270205/27040864/","http://www.team-tani9.com/bon/",,"0","050-5570-2963","￥1,000～￥1,999 | ",
神戸牛炉窯焼ステーキ 雪月風花 北野坂,"兵庫県","https://tabelog.com/hyogo/A2801/A280101/28037181/",,"https://www.facebook.com/setsugetsufuka.kitanozaka/","0","050-5570-5660","￥4,000～￥4,999 | ￥5,000～￥5,999 | ",
ドゥ アッシュ,"大阪府","https://tabelog.com/osaka/A2701/A270202/27005446/","http://www.french-2h.jp/","https://www.facebook.com/%E3%83%95%E3%83%AC%E3%83%B3%E3%83%81%E3%83%AC%E3%82%B9%E3%83%88%E3%83%A9%E3%83%B3-%E3%83%89%E3%82%A5%E3%82%A2%E3%83%83%E3%82%B7%E3%83%A5-411226575558125/","0","050-5595-8110","￥4,000～￥4,999 | ￥5,000～￥5,999 | ",
北新地はらみ 新大宮店,"奈良県","https://tabelog.com/nara/A2901/A290101/29012057/","http://harami.jp/reserve/","https://www.facebook.com/kitashinchi.harami.shinomiya/","0","050-5456-9046","",
Front du CHATON （フロンデュシャトン）,"東京都","https://tabelog.com/tokyo/A1310/A131003/13251029/","https://www.front-du-chaton.com/","https://www.facebook.com/Front_du_CHATON-108141101004796/","0","050-5457-3532","￥1,000～￥1,999 | ￥1,000～￥1,999 | ",
