shohin_kanri,title,catch_copy,price,image,nombre,zaiko,update,catalog_caption
ks-kinoko-borde-otoku-mcp-promo,フランス産 乾燥きのこ モリーユ ポルチーニ ときのこの盛り合わせ BORDE 25g+100g+100g,"<h3 style=""color: red;"">【Super Sale Promo ２５％ＯＦＦ！さらに：送料無料！】</h3><br>１００年歴史ある専門会社の高級商品を届けします！<br>",4990,BD-otoku-mcp.jpg,50,倉　庫,0,
cof-mousse-de-foie-gras-3-promo,フランス産・ムース・ド・フォアグラ・ド・カナール<br>フォアグラ入り厳選製品<br>産地から独占輸入<br>添加物不使用！,"<h3 style=""color: red;"">【５０％ＯＦＦ!】</h3>さらに：【５０００円以上の買上げ：送料無料！】<br>",1790,mousse-fg-cn-3.jpg,47,倉　庫,0,
pate-delice-25-foie-gras-promo,フランス産パテ(テリーヌ)「ル・デリス」・オ・フォアグラ(25%)<br>缶詰 130g<br>産地から独占輸入<br>無添加！,"<h3 style=""color: red;"">【５０％ＯＦＦ!】</h3>さらに：【５０００円以上の買上げ：送料無料！】<br>",1080,pate-delice-fg-ph1.jpg,46,倉　庫,0,
set-mousse-de-foie-gras-5-promo,お得缶ｘ5 セット・フランス産・ムース・ド・フォアグラ・ド・カナール<br>パンとワイン、ホームパーティーにピッタリ！<br>産地から独占輸入<br>添加物不使用！,"<h3 style=""color: red;"">【５０％ＯＦＦ!】</h3>さらに 【５０００円以上の買上げ：送料無料！】<br>",2890,mousse-fg-cn-5.jpg,47,倉　庫,0,
cof-5-rillettes-de-canard-promo,フランス産リエット ド カナール(鴨肉) お得セット(130g缶詰ｘ５)<br>産地から独占輸入<br>添加物不使用！,"<h3 style=""color: red;"">【３７％ＯＦＦ!】</h3>さらに 【５０００円以上の買上げ：送料無料！】】<br>",4410,coffret-de-5-rillettes-de-canard-promo.jpg,49,倉　庫,0,
set-charcuterie-foie-gras-promo,お得パック：フランス産・フォアグラ入りリエット、パテ（テリーヌ）、ムース<br>パンとワイン、ホームパーティーにピッタリ！<br>産地から独占輸入<br>添加物不使用！,"<h3 style=""color: red;"">【３０％ ＯＦＦ！】さらに送料無料！</h3>フォアグラ入り厳選製品・缶詰x3<br>",3590,coffret-foie-gras.jpg,100,倉　庫,0,
terrine-canard-sauternes-promo,フランス産テリーヌ・ド・カナール・オ・ソーテルヌ (鴨肉パテドカンパーニュ)<br>缶詰　130g<br>産地から独占輸入<br>添加物不使用！,"<h3 style=""color: red;"">３５％OFF!さらに【５０００円以上の買上げ：送料無料！】</h3>贅沢なフレンチビストロ・ホームパーティー<br>一つの缶詰とバゲットとワインだけで！<br>",790,tcs-jp-ssale-promo.jpg,6,倉　庫,0,
terrine-de-mamie-17-fg-promo,フランス産フォアグラ入り（１７％）のテリーヌ(パテドカンパーニュ)<br>缶詰 130g<br>産地から独占輸入<br>添加物不使用！,"<h3 style=""color:red;"">３０％OFF&#10069;さらに【５０００円以上の買上げ：送料無料！】</h3>贅沢なフレンチビストロ・ホームパーティー。一つの缶詰とバゲットとワインだけで！<br>",1190,terrine-mamie-promo.jpg,6,倉　庫,0,
mousse-fg-canard-couteau-jd,お得セット・フランス産ムース・ド・フォアグラ・ド・カナール と 　Laguiole Jean Dubost ナイフ<br>(フォアグラ50％)<br>缶詰　65g<br>産地から独占輸入<br>添加物不使用！,贅沢なフレンチビストロ・ホームパーティー<br>一つの缶詰とバゲットとワインだけで！<br>同じカテゴリー２個から購入発送無料！<br>,2900,mousse-fg-cn-cout-jd.jpg,9,倉　庫,0,
set-charcuterie-au-canard-promo,お得 鴨肉 セット : 1) リエット ド カナール 2) ソーテルヌ ワイン入り テリーヌ 3) フォアグラ入り パテ<br>パンとワイン、ホームパーティーにピッタリ！<br>産地から独占輸入<br>添加物不使用！,フランス南西部・厳選製品・缶詰x3<br>,3530,coffret-3-canard.jpg,100,倉　庫,0,
ouvre-boite-plat,板缶切,ホームパーティー・缶切りを忘れないようにね！<br>,700,ouvre-boite-plat.jpg,100,倉　庫,0,
tire-bouchon-sommelier,ワイン・コルク抜　便利ナイフ,ホームパーティーの美味しいワイン・コルク抜ナイフを忘れないようにね！,650,tire-bouchon-simple.jpg,89,倉　庫,0,
couteau-beurre-laguiole,フランス製・バターナイフ Laguiole Jean Dubost (ラヨール・ジャン デュボ),パテ ムース・ド・フォアグラ 用おしゃれナイフ<br>,1690,lg-couteau-beurre-j.jpg,99,倉　庫,0,
rillette-de-saumon-bio-90g,有機（Bio）フランス産サーモンテリーヌ（鮭）<br>缶詰　90g<br>産地から独占輸入<br>無添加,贅沢なフレンチビストロ・ホームパーティー<br>一つの缶詰とバゲットとワインだけで！<br>,1290,1bn26.jpg,0,倉　庫,0,
kanso-kinoko-borde-cepes-100gx3," 【超お得】フランス産 乾燥 セープ茸（Cepes・ポルチーニ）BORDE 100gｘ３",【送料無料】１００年歴史ある専門会社の高級商品を届けします！<br>,5690,cepes-x3.jpg,10,販売中,0,
kanso-kinoko-borde-cepes-100g," フランス産 乾燥 セープ茸（Cepes・ポルチーニ）BORDE 100g",１００年歴史ある専門会社の高級商品を届けします！<br>,2290,borde_cepes_100g.jpg,13,販売中,0,
coffret-mousse-de-foie-gras-5," フランス産・ムース・ド・フォアグラ・ド・カナール<br>フォアグラ入り厳選製品・<br>産地から独占輸入<br>添加物不使用！",【１０％OFF!・送料無料】65g缶ｘ５<br>パンとワイン、ホームパーティーにピッタリ！<br>,6390,cf_COFPUFC65-5.jpg,0,販売中,0,
coffret-mousse-de-foie-gras-3," フランス産・ムース・ド・フォアグラ・ド・カナール<br>フォアグラ入り厳選製品<br>産地から独占輸入<br>添加物不使用！",【５０００円以上の買上げ：送料無料！】<br>お得缶ｘ３セット・１０％Off!<br>,3780,mousse-fg-cn-3.jpg,1,販売中,0,
coffret-de-5-rillettes-de-canard," フランス産リエット・ド・カナール(鴨肉)<br>お得セット缶詰ｘ５ (130gx5)<br>産地から独占輸入<br>添加物不使用！",【１５％ＯＦＦ&#10009;送料無料&#10069;】<br> 贅沢なフレンチビストロ・ホームパーティー<br>一つの缶詰とバゲットとワインだけで！<br>,5950,coffret-de-5-rillettes-de-canard.jpg,10,販売中,0,
coffret-de-3-rillettes-de-canard," フランス産リエット・ド・カナール(鴨肉)<br>お得セット缶詰ｘ３ (130gx3)<br>産地から独占輸入<br>添加物不使用！",【５０００円以上の買上げ：送料無料！】<br> 贅沢なフレンチビストロ・ホームパーティー<br>一つの缶詰とバゲットとワインだけで！<br>,3780,coff-rillettes-cnd-3.jpg,10,販売中,0,
rillettes-de-canard," フランス産リエット・ド・カナール(鴨肉)<br>缶詰　130g<br>産地から独占輸入<br>添加物不使用！",【５０００円以上の買上げ：送料無料！】<br>贅沢なフレンチビストロ・ホームパーティー<br>一つの缶詰とバゲットとワインだけで！<br>,1400,rillettes-canard-ph1.jpg,10,販売中,0,
pate-le-delice-25-foie-gras," フランス産パテ(テリーヌ)「ル・デリス」・オ・フォアグラ(25%)<br>缶詰 130g<br>産地から独占輸入<br>無添加！",【５０００円以上の買上げ：送料無料！】<br>贅沢なフレンチビストロ・ホームパーティー<br>一つの缶詰とバゲットとワインだけで！<br>,2180,pate-delice-fg-ph1.jpg,29,販売中,0,
rillettes-au-foie-gras-de-canard," フランス産リエット・オ・フォアグラ・ド・カナール (鴨肉)<br>缶詰　130g<br>産地から独占輸入<br>無添加！",【５０００円以上の買上げ：送料無料！】<br>贅沢なフレンチビストロ・ホームパーティー<br>一つの缶詰とバゲットとワインだけで！<br>,2180,rill-fg-canard-ph2.jpg,1,販売中,0,
espn-foie-gras-extra," (生) フォアグラ ド カナール アンティエ （ホール） Extra「IGP」Maison Espinet",業務用・プレミアム品質、フランス産（ペリゴール）保証トレサビリティ、現地で凍結,6310,FG-ESPN-EXTRA.jpg,0,販売中,0,
rillettes-canard-2x2-promo," 【お得セット】フランス産 鴨 リエット・オ・フォアグラ・ド・カナール（130gx2）＋リエット・ド・カナール（130gx2）<br>産地から独占輸入<br>添加物不使用！","<h3 style=""color: red;"">【３０％ＯＦＦ！さらに：送料無料！】</h3><br> 贅沢なフレンチビストロ・ホームパーティー<br>一つの缶詰とバゲットとワインだけで！<br>",4990,coffret-rillettes-de-canard-2x2-promo30.jpg,0,販売中,0,
coffret-rillettes-de-canard-2x2," 【お得セット】フランス産 鴨 リエット・オ・フォアグラ・ド・カナール（130gx2）＋リエット・ド・カナール（130gx2）<br>産地から独占輸入<br>添加物不使用！",【１０％OFF ＋ 送料無料！】<br> 贅沢なフレンチビストロ・ホームパーティー<br>一つの缶詰とバゲットとワインだけで！<br>,6440,coffret-rillettes-de-canard-2x2-promo10.jpg,0,販売中,0,
foie-gras-canard-set-1," フランス南西部産 フォアグラ・ド・カナール アンティエー 『IGP』 (缶ｘ３)",クリスマス・おせち料理・贅沢ディナーパーティーにぴったり<br>,12230,RAK-foie-gras-canard-set-1.jpg,9,販売中,0,
foie-gras-premium-set-1," フランス南西部産 フォアグラアンティエー IGP - Premium セット (缶ｘ３)",100% 本物フォアグラ 添加物不使用,11690,coffret-3-fg-entiers.jpg,5,販売中,0,
mousse-de-foie-gras-de-canard-50," フランス産ムース・ド・フォアグラ・ド・カナール (フォアグラ50％)<br>缶詰　65g<br>産地から独占輸入<br>添加物不使用！",【エコの為セット販売のみ商品です】<br>,1400,mousse-canard-fg-ph1.jpg,0,販売中,0,
coffret-charcuterie-au-foie-gras," フランス産 フォアグラ入りリエット・テリーヌ・ムース<br>お得パック<br>産地から独占輸入<br>添加物不使用！",フォアグラ入り厳選製品・缶詰x3<br>父の日のプレゼントはピッタリ！<br>,5190,coffret-fg-ph1.jpg,0,販売中,0,
